categoria	caso	pais	es_legal	norma	notas
categoria_1	categoria_1_caso_2	Guatemala	no	Decreto 33-98 y modificativas	NO ES LEGAL. No existe una excepción para las reproducciones temporales realizadas durante transmisiones en línea. Existe una excepción que permite la reproducción reprográfica de breves extractos de obras para la enseñanza. Esta excepción no es compatible con la reproducción temporal de un video completo (solo habilita breves extractos). Además, no está claro si los "medios reprográficos" permiten realizar copias temporales durante transmisiones en línea. Hay otra excepción que permite la comunicación, con fines educativos, hacia el personal y estudiantes de la escuela o padres o docentes y otros. Esta excepción podría interpretarse como que permite las copias temporales realizadas durante los actos de comunicaciónen línea, pero no está claro. También existe una excepción que permite incluir en una obra propia fragmentos de obras ajenas (incluyendo obras audiovisuales) con fines de docencia (entre otros). Esta excepción no es aplicable porque no habilita la trasmisión del video completo. Finalmente, no existen excepciones aplicables a los derechos conexos sobre obras audiovisuales previstos en este escenario. Ver: Artículo 64(a) (reproducciones reprográficas para enseñanza y exámenes), Artículo 63(b) (comunicaciones con fines educativos), Artículo 66(d) (inclusión en trabajo propio).
categoria_1	categoria_1_caso_2	Honduras	no	Decreto 4-99-E	NO ES LEGAL. Existe una excepción que permite reproducciones reprográficas de obras breves (entre otros tipos de materiales) para la enseñanza, pero no está claro que los "medios reprográficos" permitan copias temporales realizadas durante transmisiones en línea. Existe una excepción que permite las reproducciones domésticas en una sola copia para uso personal o educativo, que no parece aplicable a este escenario. También existe una excepción general que permite el uso de interpretaciones, fonogramas y emisiones (derechos conexos) con fines didácticos. Pero faltan excepciones que cubran el acto de comunicación al público a distancia con fines educativos y que habiliten las reproducciones temporales en línea. Ver: Artículo 50 (reproducción reprográfica para enseñanza y exámenes), Artículo 123 (reproducción en un solo ejemplar), Artículo 121(3) (uso de representaciones, transmisiones y grabaciones de sonido con fines didácticos).
categoria_1	categoria_1_caso_2	México	no	Ley Federal del Derecho de Autor	NO ES LEGAL. Existe otra disposición que establece que no se considera pública la ejecución o representación que se hace de la obra dentro del círculo de una escuela. También existe una amplia excepción de "uso", aplicable únicamente a los derechos conexos, que permite el uso de interpretaciones, fonogramas, videogramas o emisiones con fines de enseñanza. Hay una excepción para las reproducciones temporales (grabaciones efímeras), pero solo aplica para organismos de radiodifusión. Ninguna de estas excepciones cubre los actos de comunicación al público de obras a distancia con fines educativos y tampoco las reproducciones temporales en línea. Ver: Artículo 149.II (grabaciones efímeras), Artículo 16.IV (ejecuciones y representaciones en escuelas), Artículo 151.III (uso con fines de enseñanza de actuaciones, fonogramas, videogramas o emisiones).
categoria_1	categoria_1_caso_2	Nicaragua	no	Ley 312	NO ES LEGAL. Existe una excepción que permite las reproducciones de fragmentos de obras a título de cita o para su análisis, comentario o juicio crítico. Esta excepción no aplica porque no habilita la reproducción completa del video. Existe otra excepción que permite la reproducción, por medio de la reprografía y para fines de enseñanza, de extractos cortos de una obra, a condición de que esa reproducción se efectúe en establecimientos de enseñanza. Esta excepción no aplica porque tampoco habilita la reproducción completa del video. Además, ninguna de estas excepciones cubre las reproducciones temporales realizadas durante transmisiones, ni las comunicaciones educativas al público a distancia. Ver: Artículo 32 (reproducción de fragmentos para análisis, comentario o juicio crítico), Artículo 33 (reproducciones con fines educativos).
categoria_1	categoria_1_caso_2	Panamá	incierto	Ley 64	LEGALIDAD INCIERTA. Existe una excepción que permite la reproducción por medios reprográficos de breves extractos de obras para la enseñanza en el seno de instituciones educativas. Esta excepción no es aplicable a este escenario debido a la limitación de cantidad (no habilita la reproducción temporal completa del video). Tampoco es claro que los "medios reprográficos" permitan las copias temporales realizadas durante transmisiones en línea. También existe una excepción que permite las comunicaciones de obras, en el curso de las actividades de una institución de enseñanza, por el personal y los estudiantes de tal institución. No queda claro si esta excepción cubre los actos de reproducción temporal realizados durante transmisiones y los actos de comunicación al público a distancia. Las mismas limitaciones aplicables a los derechos de autor aplican a los derechos conexos sobre obras audiovisuales previstos en este escenario. Ver: Artículo 69(1) (reproducciones para la enseñanza o realización de exámenes), Artículo 67(3) (comunicaciones en el curso de actividades de enseñanza), Artículo 121 (limitaciones a los derechos conexos).
categoria_1	categoria_1_caso_2	Paraguay	no	Ley 1328	NO ES LEGAL. Existe una excepción que permite la reproducción, por medios reprográficos, para la enseñanza o la realización de exámenes en instituciones educativas, pero no es claro que los "medios reprográficos" permitan copias temporales realizadas durante transmisiones en línea. Existe otra excepción que permite la comunicación "cuando se trate de copias únicas y personales que con fines exclusivamente didácticos utilicen los docentes en establecimientos de enseñanza". Esta excepción parece incluir una limitación de lugar que no habilita la comunicación al público a distancia del video. Ver: Artículo 39 (reproducciones para la enseñanza y realización de exámenes), Artículo 38(3) (comunicaciones en establecimientos de enseñanza).
categoria_1	categoria_1_caso_2	Perú	no	Decreto Legislativo 822	NO ES LEGAL. Existe una excepción que permite la reproducción con fines didácticos, por medios reprográficos, digitales u otros, de breves extractos de obras (entre otros tipos de materiales). Esta excepción cubre las copias temporales realizadas durante transmisiones en línea, pero no es aplicable al uso de obras audiovisuales completas. Hay otra excepción que permite los actos de comunicación con fines educativos, disponiéndose además que, si la comunicación consiste en obras reproducidas al amparo de la excepción de reproducción mencionada en la oración anterior, la audiencia debe limitarse al personal y estudiantes de la institución. Esta excepción podría interpretarse como que permite las copias temporales realizadas durante los actos de comunicación a distancia, pero no está claro. En definitiva, no hay excepciones expresas que habiliten las reproducciones temporales en línea de obras audiovisuales completas y tampoco existen excepciones aplicables a los derechos conexos sobre obras audiovisuales previstos en este escenario. Ver: Artículo 43(a) (reproducción reprográfica y digital para enseñanza y exámenes), Artículo 41(c) (comunicaciones con fines educativos).
categoria_1	categoria_1_caso_2	República Dominicana	no	Ley 65-00	NO ES LEGAL. Existe una excepción que permite la reproducción por medios reprográficos de breves extractos de obras, para la enseñanza. Esta excepción no es aplicable a este escenario debido a la limitación de cantidad (no habilita la reproducción temporal completa del video). También existe una excepción que permite los actos de comunicación pública que se realicen con fines educativos, pero se prevé expresamente que estos actos no deben implicar reproducción y que deben realizarse dentro del recinto o instalaciones de los institutos de educación. Esta excepción no cubre la reproducción temporal del video realizada durante la transmisión en línea ni el acto de puesta a disposición al público a distancia con fines educativos. Ver: Artículo 32 (reproducciones para la enseñanza y la realización de exámenes), Artículo 44 (comunicaciones con fines educativos), Artículo 134 (limitaciones a los derechos conexos).
categoria_1	categoria_1_caso_2	Uruguay	no	Ley 9739	NO ES LEGAL. No existen excepciones para reproducciones con fines educativos ni para habilitar las reproducciones temporales. Existe una excepción que permite actos de comunicación pública de obras (únicamente la representación y la ejecución de obras) siempre que se lleven a cabo en instituciones docentes. Esta excepción no cubre las reproducciones temporales realizadas durante transmisiones, ni las comunicaciones educativas al público a distancia y tampoco existen excepciones aplicables a los derechos conexos sobre obras audiovisuales previstos en este escenario. Ver: Artículo 44(B) (comunicaciones en instituciones docentes).
categoria_1	categoria_1_caso_2	Venezuela	no	Ley sobre el Derecho de Autor	NO ES LEGAL. Existe una excepción que permite la reproducción, por medios reprográficos, de artículos (y otros materiales) para la enseñanza en instituciones educativas, pero no está claro que los "medios reprográficos" permitan copias temporales realizadas durante transmisiones en línea. También existe una excepción que permite las comunicaciones efectuadas con fines exclusivamente científicos y didácticos, pero las limita a aquellas realizadas en establecimientos de enseñanza (limitación de lugar), por lo que no se permite la puesta a disposición al público de una obra a distancia. Ver: Artículo 44(3) (reproducciones para la enseñanza y la realización de exámenes), Artículo 43(3) (comunicaciones con fines educativos).
